image,label
D:\dataset_chain\water\input0/train/3103.tif,D:\dataset_chain\water\input0/train_label/3103.tif
D:\dataset_chain\water\input0/train/3104.tif,D:\dataset_chain\water\input0/train_label/3104.tif
D:\dataset_chain\water\input0/train/3105.tif,D:\dataset_chain\water\input0/train_label/3105.tif
D:\dataset_chain\water\input0/train/3106.tif,D:\dataset_chain\water\input0/train_label/3106.tif
D:\dataset_chain\water\input0/train/3107.tif,D:\dataset_chain\water\input0/train_label/3107.tif
D:\dataset_chain\water\input0/train/3108.tif,D:\dataset_chain\water\input0/train_label/3108.tif
D:\dataset_chain\water\input0/train/3109.tif,D:\dataset_chain\water\input0/train_label/3109.tif
D:\dataset_chain\water\input0/train/3110.tif,D:\dataset_chain\water\input0/train_label/3110.tif
D:\dataset_chain\water\input0/train/3111.tif,D:\dataset_chain\water\input0/train_label/3111.tif
D:\dataset_chain\water\input0/train/3112.tif,D:\dataset_chain\water\input0/train_label/3112.tif
D:\dataset_chain\water\input0/train/3113.tif,D:\dataset_chain\water\input0/train_label/3113.tif
D:\dataset_chain\water\input0/train/3114.tif,D:\dataset_chain\water\input0/train_label/3114.tif
D:\dataset_chain\water\input0/train/3115.tif,D:\dataset_chain\water\input0/train_label/3115.tif
D:\dataset_chain\water\input0/train/3116.tif,D:\dataset_chain\water\input0/train_label/3116.tif
D:\dataset_chain\water\input0/train/3117.tif,D:\dataset_chain\water\input0/train_label/3117.tif
D:\dataset_chain\water\input0/train/3118.tif,D:\dataset_chain\water\input0/train_label/3118.tif
D:\dataset_chain\water\input0/train/3119.tif,D:\dataset_chain\water\input0/train_label/3119.tif
D:\dataset_chain\water\input0/train/3120.tif,D:\dataset_chain\water\input0/train_label/3120.tif
D:\dataset_chain\water\input0/train/3121.tif,D:\dataset_chain\water\input0/train_label/3121.tif
D:\dataset_chain\water\input0/train/3122.tif,D:\dataset_chain\water\input0/train_label/3122.tif
D:\dataset_chain\water\input0/train/3123.tif,D:\dataset_chain\water\input0/train_label/3123.tif
D:\dataset_chain\water\input0/train/3124.tif,D:\dataset_chain\water\input0/train_label/3124.tif
D:\dataset_chain\water\input0/train/3125.tif,D:\dataset_chain\water\input0/train_label/3125.tif
D:\dataset_chain\water\input0/train/3126.tif,D:\dataset_chain\water\input0/train_label/3126.tif
D:\dataset_chain\water\input0/train/3127.tif,D:\dataset_chain\water\input0/train_label/3127.tif
D:\dataset_chain\water\input0/train/3128.tif,D:\dataset_chain\water\input0/train_label/3128.tif
D:\dataset_chain\water\input0/train/3129.tif,D:\dataset_chain\water\input0/train_label/3129.tif
D:\dataset_chain\water\input0/train/3130.tif,D:\dataset_chain\water\input0/train_label/3130.tif
D:\dataset_chain\water\input0/train/3131.tif,D:\dataset_chain\water\input0/train_label/3131.tif
D:\dataset_chain\water\input0/train/3132.tif,D:\dataset_chain\water\input0/train_label/3132.tif
D:\dataset_chain\water\input0/train/3133.tif,D:\dataset_chain\water\input0/train_label/3133.tif
D:\dataset_chain\water\input0/train/3134.tif,D:\dataset_chain\water\input0/train_label/3134.tif
D:\dataset_chain\water\input0/train/3135.tif,D:\dataset_chain\water\input0/train_label/3135.tif
D:\dataset_chain\water\input0/train/3136.tif,D:\dataset_chain\water\input0/train_label/3136.tif
D:\dataset_chain\water\input0/train/3137.tif,D:\dataset_chain\water\input0/train_label/3137.tif
D:\dataset_chain\water\input0/train/3138.tif,D:\dataset_chain\water\input0/train_label/3138.tif
D:\dataset_chain\water\input0/train/3139.tif,D:\dataset_chain\water\input0/train_label/3139.tif
D:\dataset_chain\water\input0/train/3140.tif,D:\dataset_chain\water\input0/train_label/3140.tif
D:\dataset_chain\water\input0/train/3141.tif,D:\dataset_chain\water\input0/train_label/3141.tif
D:\dataset_chain\water\input0/train/3142.tif,D:\dataset_chain\water\input0/train_label/3142.tif
D:\dataset_chain\water\input0/train/3143.tif,D:\dataset_chain\water\input0/train_label/3143.tif
D:\dataset_chain\water\input0/train/3144.tif,D:\dataset_chain\water\input0/train_label/3144.tif
D:\dataset_chain\water\input0/train/3145.tif,D:\dataset_chain\water\input0/train_label/3145.tif
D:\dataset_chain\water\input0/train/3146.tif,D:\dataset_chain\water\input0/train_label/3146.tif
D:\dataset_chain\water\input0/train/3147.tif,D:\dataset_chain\water\input0/train_label/3147.tif
D:\dataset_chain\water\input0/train/3148.tif,D:\dataset_chain\water\input0/train_label/3148.tif
D:\dataset_chain\water\input0/train/3149.tif,D:\dataset_chain\water\input0/train_label/3149.tif
D:\dataset_chain\water\input0/train/3150.tif,D:\dataset_chain\water\input0/train_label/3150.tif
D:\dataset_chain\water\input0/train/3151.tif,D:\dataset_chain\water\input0/train_label/3151.tif
D:\dataset_chain\water\input0/train/3152.tif,D:\dataset_chain\water\input0/train_label/3152.tif
D:\dataset_chain\water\input0/train/3153.tif,D:\dataset_chain\water\input0/train_label/3153.tif
D:\dataset_chain\water\input0/train/3154.tif,D:\dataset_chain\water\input0/train_label/3154.tif
D:\dataset_chain\water\input0/train/3155.tif,D:\dataset_chain\water\input0/train_label/3155.tif
D:\dataset_chain\water\input0/train/3156.tif,D:\dataset_chain\water\input0/train_label/3156.tif
D:\dataset_chain\water\input0/train/3157.tif,D:\dataset_chain\water\input0/train_label/3157.tif
D:\dataset_chain\water\input0/train/3158.tif,D:\dataset_chain\water\input0/train_label/3158.tif
D:\dataset_chain\water\input0/train/3159.tif,D:\dataset_chain\water\input0/train_label/3159.tif
D:\dataset_chain\water\input0/train/3160.tif,D:\dataset_chain\water\input0/train_label/3160.tif
D:\dataset_chain\water\input0/train/3161.tif,D:\dataset_chain\water\input0/train_label/3161.tif
D:\dataset_chain\water\input0/train/3162.tif,D:\dataset_chain\water\input0/train_label/3162.tif
D:\dataset_chain\water\input0/train/3163.tif,D:\dataset_chain\water\input0/train_label/3163.tif
D:\dataset_chain\water\input0/train/3164.tif,D:\dataset_chain\water\input0/train_label/3164.tif
D:\dataset_chain\water\input0/train/3165.tif,D:\dataset_chain\water\input0/train_label/3165.tif
D:\dataset_chain\water\input0/train/3166.tif,D:\dataset_chain\water\input0/train_label/3166.tif
D:\dataset_chain\water\input0/train/3167.tif,D:\dataset_chain\water\input0/train_label/3167.tif
D:\dataset_chain\water\input0/train/3168.tif,D:\dataset_chain\water\input0/train_label/3168.tif
D:\dataset_chain\water\input0/train/3169.tif,D:\dataset_chain\water\input0/train_label/3169.tif
D:\dataset_chain\water\input0/train/3170.tif,D:\dataset_chain\water\input0/train_label/3170.tif
D:\dataset_chain\water\input0/train/3171.tif,D:\dataset_chain\water\input0/train_label/3171.tif
D:\dataset_chain\water\input0/train/3172.tif,D:\dataset_chain\water\input0/train_label/3172.tif
D:\dataset_chain\water\input0/train/3173.tif,D:\dataset_chain\water\input0/train_label/3173.tif
D:\dataset_chain\water\input0/train/3174.tif,D:\dataset_chain\water\input0/train_label/3174.tif
D:\dataset_chain\water\input0/train/3175.tif,D:\dataset_chain\water\input0/train_label/3175.tif
D:\dataset_chain\water\input0/train/3176.tif,D:\dataset_chain\water\input0/train_label/3176.tif
D:\dataset_chain\water\input0/train/3177.tif,D:\dataset_chain\water\input0/train_label/3177.tif
D:\dataset_chain\water\input0/train/3178.tif,D:\dataset_chain\water\input0/train_label/3178.tif
D:\dataset_chain\water\input0/train/3179.tif,D:\dataset_chain\water\input0/train_label/3179.tif
D:\dataset_chain\water\input0/train/3180.tif,D:\dataset_chain\water\input0/train_label/3180.tif
D:\dataset_chain\water\input0/train/3181.tif,D:\dataset_chain\water\input0/train_label/3181.tif
D:\dataset_chain\water\input0/train/3182.tif,D:\dataset_chain\water\input0/train_label/3182.tif
D:\dataset_chain\water\input0/train/3183.tif,D:\dataset_chain\water\input0/train_label/3183.tif
D:\dataset_chain\water\input0/train/3184.tif,D:\dataset_chain\water\input0/train_label/3184.tif
D:\dataset_chain\water\input0/train/3185.tif,D:\dataset_chain\water\input0/train_label/3185.tif
D:\dataset_chain\water\input0/train/3186.tif,D:\dataset_chain\water\input0/train_label/3186.tif
D:\dataset_chain\water\input0/train/3187.tif,D:\dataset_chain\water\input0/train_label/3187.tif
D:\dataset_chain\water\input0/train/3188.tif,D:\dataset_chain\water\input0/train_label/3188.tif
D:\dataset_chain\water\input0/train/3189.tif,D:\dataset_chain\water\input0/train_label/3189.tif
D:\dataset_chain\water\input0/train/3190.tif,D:\dataset_chain\water\input0/train_label/3190.tif
D:\dataset_chain\water\input0/train/3191.tif,D:\dataset_chain\water\input0/train_label/3191.tif
D:\dataset_chain\water\input0/train/3192.tif,D:\dataset_chain\water\input0/train_label/3192.tif
D:\dataset_chain\water\input0/train/3193.tif,D:\dataset_chain\water\input0/train_label/3193.tif
D:\dataset_chain\water\input0/train/3194.tif,D:\dataset_chain\water\input0/train_label/3194.tif
D:\dataset_chain\water\input0/train/3195.tif,D:\dataset_chain\water\input0/train_label/3195.tif
D:\dataset_chain\water\input0/train/3196.tif,D:\dataset_chain\water\input0/train_label/3196.tif
D:\dataset_chain\water\input0/train/3197.tif,D:\dataset_chain\water\input0/train_label/3197.tif
D:\dataset_chain\water\input0/train/3198.tif,D:\dataset_chain\water\input0/train_label/3198.tif
D:\dataset_chain\water\input0/train/3199.tif,D:\dataset_chain\water\input0/train_label/3199.tif
D:\dataset_chain\water\input0/train/3200.tif,D:\dataset_chain\water\input0/train_label/3200.tif
D:\dataset_chain\water\input0/train/3201.tif,D:\dataset_chain\water\input0/train_label/3201.tif
D:\dataset_chain\water\input0/train/3202.tif,D:\dataset_chain\water\input0/train_label/3202.tif
D:\dataset_chain\water\input0/train/3203.tif,D:\dataset_chain\water\input0/train_label/3203.tif
D:\dataset_chain\water\input0/train/3204.tif,D:\dataset_chain\water\input0/train_label/3204.tif
D:\dataset_chain\water\input0/train/3205.tif,D:\dataset_chain\water\input0/train_label/3205.tif
D:\dataset_chain\water\input0/train/3206.tif,D:\dataset_chain\water\input0/train_label/3206.tif
D:\dataset_chain\water\input0/train/3207.tif,D:\dataset_chain\water\input0/train_label/3207.tif
D:\dataset_chain\water\input0/train/3208.tif,D:\dataset_chain\water\input0/train_label/3208.tif
D:\dataset_chain\water\input0/train/3209.tif,D:\dataset_chain\water\input0/train_label/3209.tif
D:\dataset_chain\water\input0/train/3210.tif,D:\dataset_chain\water\input0/train_label/3210.tif
D:\dataset_chain\water\input0/train/3211.tif,D:\dataset_chain\water\input0/train_label/3211.tif
D:\dataset_chain\water\input0/train/3212.tif,D:\dataset_chain\water\input0/train_label/3212.tif
D:\dataset_chain\water\input0/train/3213.tif,D:\dataset_chain\water\input0/train_label/3213.tif
D:\dataset_chain\water\input0/train/3214.tif,D:\dataset_chain\water\input0/train_label/3214.tif
D:\dataset_chain\water\input0/train/3215.tif,D:\dataset_chain\water\input0/train_label/3215.tif
D:\dataset_chain\water\input0/train/3216.tif,D:\dataset_chain\water\input0/train_label/3216.tif
D:\dataset_chain\water\input0/train/3217.tif,D:\dataset_chain\water\input0/train_label/3217.tif
D:\dataset_chain\water\input0/train/3218.tif,D:\dataset_chain\water\input0/train_label/3218.tif
D:\dataset_chain\water\input0/train/3219.tif,D:\dataset_chain\water\input0/train_label/3219.tif
D:\dataset_chain\water\input0/train/3220.tif,D:\dataset_chain\water\input0/train_label/3220.tif
D:\dataset_chain\water\input0/train/3221.tif,D:\dataset_chain\water\input0/train_label/3221.tif
D:\dataset_chain\water\input0/train/3222.tif,D:\dataset_chain\water\input0/train_label/3222.tif
D:\dataset_chain\water\input0/train/3223.tif,D:\dataset_chain\water\input0/train_label/3223.tif
D:\dataset_chain\water\input0/train/3224.tif,D:\dataset_chain\water\input0/train_label/3224.tif
D:\dataset_chain\water\input0/train/3225.tif,D:\dataset_chain\water\input0/train_label/3225.tif
D:\dataset_chain\water\input0/train/3226.tif,D:\dataset_chain\water\input0/train_label/3226.tif
D:\dataset_chain\water\input0/train/3227.tif,D:\dataset_chain\water\input0/train_label/3227.tif
D:\dataset_chain\water\input0/train/3228.tif,D:\dataset_chain\water\input0/train_label/3228.tif
D:\dataset_chain\water\input0/train/3229.tif,D:\dataset_chain\water\input0/train_label/3229.tif
D:\dataset_chain\water\input0/train/3230.tif,D:\dataset_chain\water\input0/train_label/3230.tif
D:\dataset_chain\water\input0/train/3231.tif,D:\dataset_chain\water\input0/train_label/3231.tif
D:\dataset_chain\water\input0/train/3232.tif,D:\dataset_chain\water\input0/train_label/3232.tif
D:\dataset_chain\water\input0/train/3233.tif,D:\dataset_chain\water\input0/train_label/3233.tif
D:\dataset_chain\water\input0/train/3234.tif,D:\dataset_chain\water\input0/train_label/3234.tif
D:\dataset_chain\water\input0/train/3235.tif,D:\dataset_chain\water\input0/train_label/3235.tif
D:\dataset_chain\water\input0/train/3236.tif,D:\dataset_chain\water\input0/train_label/3236.tif
D:\dataset_chain\water\input0/train/3237.tif,D:\dataset_chain\water\input0/train_label/3237.tif
D:\dataset_chain\water\input0/train/3238.tif,D:\dataset_chain\water\input0/train_label/3238.tif
D:\dataset_chain\water\input0/train/3239.tif,D:\dataset_chain\water\input0/train_label/3239.tif
D:\dataset_chain\water\input0/train/3240.tif,D:\dataset_chain\water\input0/train_label/3240.tif
D:\dataset_chain\water\input0/train/3241.tif,D:\dataset_chain\water\input0/train_label/3241.tif
D:\dataset_chain\water\input0/train/3242.tif,D:\dataset_chain\water\input0/train_label/3242.tif
D:\dataset_chain\water\input0/train/3243.tif,D:\dataset_chain\water\input0/train_label/3243.tif
D:\dataset_chain\water\input0/train/3244.tif,D:\dataset_chain\water\input0/train_label/3244.tif
D:\dataset_chain\water\input0/train/3245.tif,D:\dataset_chain\water\input0/train_label/3245.tif
D:\dataset_chain\water\input0/train/3246.tif,D:\dataset_chain\water\input0/train_label/3246.tif
D:\dataset_chain\water\input0/train/3247.tif,D:\dataset_chain\water\input0/train_label/3247.tif
D:\dataset_chain\water\input0/train/3248.tif,D:\dataset_chain\water\input0/train_label/3248.tif
D:\dataset_chain\water\input0/train/3249.tif,D:\dataset_chain\water\input0/train_label/3249.tif
D:\dataset_chain\water\input0/train/3250.tif,D:\dataset_chain\water\input0/train_label/3250.tif
D:\dataset_chain\water\input0/train/3251.tif,D:\dataset_chain\water\input0/train_label/3251.tif
D:\dataset_chain\water\input0/train/3252.tif,D:\dataset_chain\water\input0/train_label/3252.tif
D:\dataset_chain\water\input0/train/3253.tif,D:\dataset_chain\water\input0/train_label/3253.tif
D:\dataset_chain\water\input0/train/3254.tif,D:\dataset_chain\water\input0/train_label/3254.tif
D:\dataset_chain\water\input0/train/3255.tif,D:\dataset_chain\water\input0/train_label/3255.tif
D:\dataset_chain\water\input0/train/3256.tif,D:\dataset_chain\water\input0/train_label/3256.tif
D:\dataset_chain\water\input0/train/3257.tif,D:\dataset_chain\water\input0/train_label/3257.tif
D:\dataset_chain\water\input0/train/3258.tif,D:\dataset_chain\water\input0/train_label/3258.tif
D:\dataset_chain\water\input0/train/3259.tif,D:\dataset_chain\water\input0/train_label/3259.tif
D:\dataset_chain\water\input0/train/3260.tif,D:\dataset_chain\water\input0/train_label/3260.tif
D:\dataset_chain\water\input0/train/3261.tif,D:\dataset_chain\water\input0/train_label/3261.tif
D:\dataset_chain\water\input0/train/3262.tif,D:\dataset_chain\water\input0/train_label/3262.tif
D:\dataset_chain\water\input0/train/3263.tif,D:\dataset_chain\water\input0/train_label/3263.tif
D:\dataset_chain\water\input0/train/3264.tif,D:\dataset_chain\water\input0/train_label/3264.tif
D:\dataset_chain\water\input0/train/3265.tif,D:\dataset_chain\water\input0/train_label/3265.tif
D:\dataset_chain\water\input0/train/3266.tif,D:\dataset_chain\water\input0/train_label/3266.tif
D:\dataset_chain\water\input0/train/3267.tif,D:\dataset_chain\water\input0/train_label/3267.tif
D:\dataset_chain\water\input0/train/3268.tif,D:\dataset_chain\water\input0/train_label/3268.tif
D:\dataset_chain\water\input0/train/3269.tif,D:\dataset_chain\water\input0/train_label/3269.tif
D:\dataset_chain\water\input0/train/3270.tif,D:\dataset_chain\water\input0/train_label/3270.tif
D:\dataset_chain\water\input0/train/3271.tif,D:\dataset_chain\water\input0/train_label/3271.tif
D:\dataset_chain\water\input0/train/3272.tif,D:\dataset_chain\water\input0/train_label/3272.tif
D:\dataset_chain\water\input0/train/3273.tif,D:\dataset_chain\water\input0/train_label/3273.tif
D:\dataset_chain\water\input0/train/3274.tif,D:\dataset_chain\water\input0/train_label/3274.tif
D:\dataset_chain\water\input0/train/3275.tif,D:\dataset_chain\water\input0/train_label/3275.tif
D:\dataset_chain\water\input0/train/3276.tif,D:\dataset_chain\water\input0/train_label/3276.tif
D:\dataset_chain\water\input0/train/3277.tif,D:\dataset_chain\water\input0/train_label/3277.tif
D:\dataset_chain\water\input0/train/3278.tif,D:\dataset_chain\water\input0/train_label/3278.tif
D:\dataset_chain\water\input0/train/3279.tif,D:\dataset_chain\water\input0/train_label/3279.tif
D:\dataset_chain\water\input0/train/3280.tif,D:\dataset_chain\water\input0/train_label/3280.tif
D:\dataset_chain\water\input0/train/3281.tif,D:\dataset_chain\water\input0/train_label/3281.tif
D:\dataset_chain\water\input0/train/3282.tif,D:\dataset_chain\water\input0/train_label/3282.tif
D:\dataset_chain\water\input0/train/3283.tif,D:\dataset_chain\water\input0/train_label/3283.tif
D:\dataset_chain\water\input0/train/3284.tif,D:\dataset_chain\water\input0/train_label/3284.tif
D:\dataset_chain\water\input0/train/3285.tif,D:\dataset_chain\water\input0/train_label/3285.tif
D:\dataset_chain\water\input0/train/3286.tif,D:\dataset_chain\water\input0/train_label/3286.tif
D:\dataset_chain\water\input0/train/3287.tif,D:\dataset_chain\water\input0/train_label/3287.tif
D:\dataset_chain\water\input0/train/3288.tif,D:\dataset_chain\water\input0/train_label/3288.tif
D:\dataset_chain\water\input0/train/3289.tif,D:\dataset_chain\water\input0/train_label/3289.tif
D:\dataset_chain\water\input0/train/3290.tif,D:\dataset_chain\water\input0/train_label/3290.tif
D:\dataset_chain\water\input0/train/3291.tif,D:\dataset_chain\water\input0/train_label/3291.tif
D:\dataset_chain\water\input0/train/3292.tif,D:\dataset_chain\water\input0/train_label/3292.tif
D:\dataset_chain\water\input0/train/3293.tif,D:\dataset_chain\water\input0/train_label/3293.tif
D:\dataset_chain\water\input0/train/3294.tif,D:\dataset_chain\water\input0/train_label/3294.tif
D:\dataset_chain\water\input0/train/3295.tif,D:\dataset_chain\water\input0/train_label/3295.tif
D:\dataset_chain\water\input0/train/3296.tif,D:\dataset_chain\water\input0/train_label/3296.tif
D:\dataset_chain\water\input0/train/3297.tif,D:\dataset_chain\water\input0/train_label/3297.tif
D:\dataset_chain\water\input0/train/3298.tif,D:\dataset_chain\water\input0/train_label/3298.tif
D:\dataset_chain\water\input0/train/3299.tif,D:\dataset_chain\water\input0/train_label/3299.tif
D:\dataset_chain\water\input0/train/3300.tif,D:\dataset_chain\water\input0/train_label/3300.tif
D:\dataset_chain\water\input0/train/3301.tif,D:\dataset_chain\water\input0/train_label/3301.tif
D:\dataset_chain\water\input0/train/3302.tif,D:\dataset_chain\water\input0/train_label/3302.tif
D:\dataset_chain\water\input0/train/3303.tif,D:\dataset_chain\water\input0/train_label/3303.tif
D:\dataset_chain\water\input0/train/3304.tif,D:\dataset_chain\water\input0/train_label/3304.tif
D:\dataset_chain\water\input0/train/3305.tif,D:\dataset_chain\water\input0/train_label/3305.tif
D:\dataset_chain\water\input0/train/3306.tif,D:\dataset_chain\water\input0/train_label/3306.tif
D:\dataset_chain\water\input0/train/3307.tif,D:\dataset_chain\water\input0/train_label/3307.tif
D:\dataset_chain\water\input0/train/3308.tif,D:\dataset_chain\water\input0/train_label/3308.tif
D:\dataset_chain\water\input0/train/3309.tif,D:\dataset_chain\water\input0/train_label/3309.tif
D:\dataset_chain\water\input0/train/3310.tif,D:\dataset_chain\water\input0/train_label/3310.tif
D:\dataset_chain\water\input0/train/3311.tif,D:\dataset_chain\water\input0/train_label/3311.tif
D:\dataset_chain\water\input0/train/3312.tif,D:\dataset_chain\water\input0/train_label/3312.tif
D:\dataset_chain\water\input0/train/3313.tif,D:\dataset_chain\water\input0/train_label/3313.tif
D:\dataset_chain\water\input0/train/3314.tif,D:\dataset_chain\water\input0/train_label/3314.tif
D:\dataset_chain\water\input0/train/3315.tif,D:\dataset_chain\water\input0/train_label/3315.tif
D:\dataset_chain\water\input0/train/3316.tif,D:\dataset_chain\water\input0/train_label/3316.tif
D:\dataset_chain\water\input0/train/3317.tif,D:\dataset_chain\water\input0/train_label/3317.tif
D:\dataset_chain\water\input0/train/3318.tif,D:\dataset_chain\water\input0/train_label/3318.tif
D:\dataset_chain\water\input0/train/3319.tif,D:\dataset_chain\water\input0/train_label/3319.tif
D:\dataset_chain\water\input0/train/3320.tif,D:\dataset_chain\water\input0/train_label/3320.tif
D:\dataset_chain\water\input0/train/3321.tif,D:\dataset_chain\water\input0/train_label/3321.tif
D:\dataset_chain\water\input0/train/3322.tif,D:\dataset_chain\water\input0/train_label/3322.tif
D:\dataset_chain\water\input0/train/3323.tif,D:\dataset_chain\water\input0/train_label/3323.tif
D:\dataset_chain\water\input0/train/3324.tif,D:\dataset_chain\water\input0/train_label/3324.tif
D:\dataset_chain\water\input0/train/3325.tif,D:\dataset_chain\water\input0/train_label/3325.tif
D:\dataset_chain\water\input0/train/3326.tif,D:\dataset_chain\water\input0/train_label/3326.tif
D:\dataset_chain\water\input0/train/3327.tif,D:\dataset_chain\water\input0/train_label/3327.tif
D:\dataset_chain\water\input0/train/3328.tif,D:\dataset_chain\water\input0/train_label/3328.tif
D:\dataset_chain\water\input0/train/3329.tif,D:\dataset_chain\water\input0/train_label/3329.tif
D:\dataset_chain\water\input0/train/3330.tif,D:\dataset_chain\water\input0/train_label/3330.tif
D:\dataset_chain\water\input0/train/3331.tif,D:\dataset_chain\water\input0/train_label/3331.tif
D:\dataset_chain\water\input0/train/3332.tif,D:\dataset_chain\water\input0/train_label/3332.tif
D:\dataset_chain\water\input0/train/3333.tif,D:\dataset_chain\water\input0/train_label/3333.tif
D:\dataset_chain\water\input0/train/3334.tif,D:\dataset_chain\water\input0/train_label/3334.tif
D:\dataset_chain\water\input0/train/3335.tif,D:\dataset_chain\water\input0/train_label/3335.tif
D:\dataset_chain\water\input0/train/3336.tif,D:\dataset_chain\water\input0/train_label/3336.tif
D:\dataset_chain\water\input0/train/3337.tif,D:\dataset_chain\water\input0/train_label/3337.tif
D:\dataset_chain\water\input0/train/3338.tif,D:\dataset_chain\water\input0/train_label/3338.tif
D:\dataset_chain\water\input0/train/3339.tif,D:\dataset_chain\water\input0/train_label/3339.tif
D:\dataset_chain\water\input0/train/3340.tif,D:\dataset_chain\water\input0/train_label/3340.tif
D:\dataset_chain\water\input0/train/3341.tif,D:\dataset_chain\water\input0/train_label/3341.tif
D:\dataset_chain\water\input0/train/3342.tif,D:\dataset_chain\water\input0/train_label/3342.tif
D:\dataset_chain\water\input0/train/3343.tif,D:\dataset_chain\water\input0/train_label/3343.tif
D:\dataset_chain\water\input0/train/3344.tif,D:\dataset_chain\water\input0/train_label/3344.tif
D:\dataset_chain\water\input0/train/3345.tif,D:\dataset_chain\water\input0/train_label/3345.tif
D:\dataset_chain\water\input0/train/3346.tif,D:\dataset_chain\water\input0/train_label/3346.tif
D:\dataset_chain\water\input0/train/3347.tif,D:\dataset_chain\water\input0/train_label/3347.tif
D:\dataset_chain\water\input0/train/3348.tif,D:\dataset_chain\water\input0/train_label/3348.tif
D:\dataset_chain\water\input0/train/3349.tif,D:\dataset_chain\water\input0/train_label/3349.tif
D:\dataset_chain\water\input0/train/3350.tif,D:\dataset_chain\water\input0/train_label/3350.tif
D:\dataset_chain\water\input0/train/3351.tif,D:\dataset_chain\water\input0/train_label/3351.tif
D:\dataset_chain\water\input0/train/3352.tif,D:\dataset_chain\water\input0/train_label/3352.tif
D:\dataset_chain\water\input0/train/3353.tif,D:\dataset_chain\water\input0/train_label/3353.tif
D:\dataset_chain\water\input0/train/3354.tif,D:\dataset_chain\water\input0/train_label/3354.tif
D:\dataset_chain\water\input0/train/3355.tif,D:\dataset_chain\water\input0/train_label/3355.tif
D:\dataset_chain\water\input0/train/3356.tif,D:\dataset_chain\water\input0/train_label/3356.tif
D:\dataset_chain\water\input0/train/3357.tif,D:\dataset_chain\water\input0/train_label/3357.tif
D:\dataset_chain\water\input0/train/3358.tif,D:\dataset_chain\water\input0/train_label/3358.tif
D:\dataset_chain\water\input0/train/3359.tif,D:\dataset_chain\water\input0/train_label/3359.tif
D:\dataset_chain\water\input0/train/3360.tif,D:\dataset_chain\water\input0/train_label/3360.tif
D:\dataset_chain\water\input0/train/3361.tif,D:\dataset_chain\water\input0/train_label/3361.tif
D:\dataset_chain\water\input0/train/3362.tif,D:\dataset_chain\water\input0/train_label/3362.tif
D:\dataset_chain\water\input0/train/3363.tif,D:\dataset_chain\water\input0/train_label/3363.tif
D:\dataset_chain\water\input0/train/3364.tif,D:\dataset_chain\water\input0/train_label/3364.tif
D:\dataset_chain\water\input0/train/3365.tif,D:\dataset_chain\water\input0/train_label/3365.tif
D:\dataset_chain\water\input0/train/3366.tif,D:\dataset_chain\water\input0/train_label/3366.tif
D:\dataset_chain\water\input0/train/3367.tif,D:\dataset_chain\water\input0/train_label/3367.tif
D:\dataset_chain\water\input0/train/3368.tif,D:\dataset_chain\water\input0/train_label/3368.tif
D:\dataset_chain\water\input0/train/3369.tif,D:\dataset_chain\water\input0/train_label/3369.tif
D:\dataset_chain\water\input0/train/3370.tif,D:\dataset_chain\water\input0/train_label/3370.tif
D:\dataset_chain\water\input0/train/3371.tif,D:\dataset_chain\water\input0/train_label/3371.tif
D:\dataset_chain\water\input0/train/3372.tif,D:\dataset_chain\water\input0/train_label/3372.tif
D:\dataset_chain\water\input0/train/3373.tif,D:\dataset_chain\water\input0/train_label/3373.tif
D:\dataset_chain\water\input0/train/3374.tif,D:\dataset_chain\water\input0/train_label/3374.tif
D:\dataset_chain\water\input0/train/3375.tif,D:\dataset_chain\water\input0/train_label/3375.tif
D:\dataset_chain\water\input0/train/3376.tif,D:\dataset_chain\water\input0/train_label/3376.tif
D:\dataset_chain\water\input0/train/3377.tif,D:\dataset_chain\water\input0/train_label/3377.tif
D:\dataset_chain\water\input0/train/3378.tif,D:\dataset_chain\water\input0/train_label/3378.tif
D:\dataset_chain\water\input0/train/3379.tif,D:\dataset_chain\water\input0/train_label/3379.tif
D:\dataset_chain\water\input0/train/3380.tif,D:\dataset_chain\water\input0/train_label/3380.tif
D:\dataset_chain\water\input0/train/3381.tif,D:\dataset_chain\water\input0/train_label/3381.tif
D:\dataset_chain\water\input0/train/3382.tif,D:\dataset_chain\water\input0/train_label/3382.tif
D:\dataset_chain\water\input0/train/3383.tif,D:\dataset_chain\water\input0/train_label/3383.tif
D:\dataset_chain\water\input0/train/3384.tif,D:\dataset_chain\water\input0/train_label/3384.tif
D:\dataset_chain\water\input0/train/3385.tif,D:\dataset_chain\water\input0/train_label/3385.tif
D:\dataset_chain\water\input0/train/3386.tif,D:\dataset_chain\water\input0/train_label/3386.tif
D:\dataset_chain\water\input0/train/3387.tif,D:\dataset_chain\water\input0/train_label/3387.tif
D:\dataset_chain\water\input0/train/3388.tif,D:\dataset_chain\water\input0/train_label/3388.tif
D:\dataset_chain\water\input0/train/3389.tif,D:\dataset_chain\water\input0/train_label/3389.tif
D:\dataset_chain\water\input0/train/3390.tif,D:\dataset_chain\water\input0/train_label/3390.tif
D:\dataset_chain\water\input0/train/3391.tif,D:\dataset_chain\water\input0/train_label/3391.tif
D:\dataset_chain\water\input0/train/3392.tif,D:\dataset_chain\water\input0/train_label/3392.tif
D:\dataset_chain\water\input0/train/3393.tif,D:\dataset_chain\water\input0/train_label/3393.tif
